target
AT5G63570
AT5G63570
AT5G63470
AT5G63470
AT5G63440
AT5G63440
AT5G63440
AT5G63420
AT5G63310
AT5G63190
AT5G63190
AT5G62640
AT5G62640
AT5G62640
AT5G61510
AT5G61510
AT5G61270
AT5G61270
AT5G61270
AT5G61230
AT5G61230
AT5G60750
AT5G59920
AT5G59820
AT5G59560
AT5G59560
AT5G58960
AT5G58960
AT5G58960
AT5G58760
AT5G58760
AT5G58500
AT5G58140
AT5G58140
AT5G58140
AT5G58140
AT5G58140
AT5G58140
AT5G58140
AT5G58070
AT5G57360
AT5G57360
AT5G57050
AT5G57050
AT5G57050
AT5G56860
AT5G56280
AT5G55910
AT5G55910
AT5G55280
AT5G55200
AT5G54270
AT5G54190
AT5G54190
AT5G53980
AT5G53660
AT5G53170
AT5G52800
AT5G52800
AT5G52800
AT5G52250
AT5G51810
AT5G51810
AT5G51100
AT5G51100
AT5G51100
AT5G51100
AT5G51100
AT5G51100
AT5G50790
AT5G49730
AT5G49730
AT5G49330
AT5G49230
AT5G49230
AT5G48890
AT5G48890
AT5G48560
AT5G48560
AT5G48410
AT5G48410
AT5G48410
AT5G48410
AT5G48400
AT5G48400
AT5G48300
AT5G48150
AT5G48150
AT5G48150
AT5G48150
AT5G48010
AT5G48010
AT5G47750
AT5G47640
AT5G47390
AT5G47370
AT5G47010
AT5G46210
AT5G46110
AT5G46110
AT5G46110
AT5G46110
AT5G45890
AT5G45610
AT5G45610
AT5G45600
AT5G45600
AT5G45340
AT5G45340
AT5G44750
AT5G44750
AT5G44740
AT5G44740
AT5G44740
AT5G44160
AT5G44160
AT5G44110
AT5G44110
AT5G44110
AT5G44110
AT5G43935
AT5G43760
AT5G43630
AT5G43630
AT5G43630
AT5G43630
AT5G43470
AT5G43470
AT5G43470
AT5G43470
AT5G43050
AT5G42970
AT5G42900
AT5G42900
AT5G42900
AT5G42890
AT5G42820
AT5G42820
AT5G42270
AT5G41990
AT5G41990
AT5G41790
AT5G41790
AT5G41370
AT5G41360
AT5G41360
AT5G40850
AT5G40850
AT5G40850
AT5G40490
AT5G40490
AT5G39860
AT5G39760
AT5G38150
AT5G37890
AT5G37770
AT5G37770
AT5G37190
AT5G37190
AT5G37190
AT5G35840
AT5G35220
AT5G28490
AT5G28450
AT5G27630
AT5G27630
AT5G27630
AT5G27630
AT5G27620
AT5G27620
AT5G27620
AT5G27100
AT5G26930
AT5G26920
AT5G26920
AT5G26920
AT5G26680
AT5G26680
AT5G26680
AT5G26680
AT5G26680
AT5G25830
AT5G25220
AT5G25220
AT5G24655
AT5G24470
AT5G24314
AT5G24314
AT5G24120
AT5G24120
AT5G24120
AT5G24090
AT5G23730
AT5G23670
AT5G23670
AT5G23150
AT5G23150
AT5G23150
AT5G23060
AT5G23060
AT5G23040
AT5G23040
AT5G22830
AT5G22830
AT5G21900
AT5G21900
AT5G20730
AT5G20730
AT5G20730
AT5G20730
AT5G20730
AT5G20610
AT5G20520
AT5G20230
AT5G18570
AT5G18170
AT5G18100
AT5G18100
AT5G18070
AT5G17960
AT5G17880
AT5G17880
AT5G17800
AT5G17780
AT5G17780
AT5G17690
AT5G17690
AT5G17690
AT5G16400
AT5G15960
AT5G15840
AT5G15840
AT5G15160
AT5G14530
AT5G14250
AT5G14250
AT5G14170
AT5G13930
AT5G13790
AT5G13790
AT5G13730
AT5G11260
AT5G11260
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11210
AT5G11180
AT5G11180
AT5G11060
AT5G10220
AT5G10200
AT5G10200
AT5G10200
AT5G09810
AT5G09740
AT5G09740
AT5G09530
AT5G08790
AT5G08640
AT5G08640
AT5G08560
AT5G08560
AT5G08560
AT5G08130
AT5G08130
AT5G08130
AT5G08130
AT5G08130
AT5G08130
